,AppName,TCID,EXEDATE,STATUS
0,OnePlan,1,1/1/2018,Fail
1,OnePlan,2,1/2/2018,Fail
2,OnePlan,3,1/3/2018,Pass
3,OnePlan,4,1/4/2018,Pass
4,OnePlan,5,1/5/2018,Fail
5,OnePlan,6,1/6/2018,Fail
6,OnePlan,7,1/7/2018,Fail
7,OnePlan,8,1/8/2018,Pass
8,OnePlan,9,1/9/2018,Pass
9,OnePlan,10,1/10/2018,Fail
10,OnePlan,11,1/11/2018,Fail
11,OnePlan,12,1/12/2018,Pass
12,OnePlan,13,1/13/2018,Pass
13,OnePlan,14,1/14/2018,Fail
14,OnePlan,15,1/15/2018,Pass
15,OnePlan,16,1/16/2018,Pass
16,OnePlan,17,1/17/2018,Pass
17,OnePlan,18,1/18/2018,Fail
18,OnePlan,19,1/19/2018,Fail
19,OnePlan,20,1/20/2018,Fail
20,OnePlan,21,1/21/2018,Fail
21,OnePlan,22,1/22/2018,Pass
22,OnePlan,23,1/23/2018,Fail
23,OnePlan,24,1/24/2018,Pass
24,OnePlan,25,1/25/2018,Fail
25,OnePlan,26,1/26/2018,Pass
26,OnePlan,27,1/27/2018,Fail
27,OnePlan,28,1/28/2018,Fail
28,OnePlan,29,1/29/2018,Pass
29,OnePlan,30,1/30/2018,Fail
30,OnePlan,31,1/31/2018,Fail
31,OnePlan,32,2/1/2018,Pass
32,OnePlan,33,2/2/2018,Fail
33,OnePlan,34,2/3/2018,Fail
34,OnePlan,35,2/4/2018,Pass
35,OnePlan,36,2/5/2018,Fail
36,OnePlan,37,2/6/2018,Pass
37,OnePlan,38,2/7/2018,Pass
38,OnePlan,39,2/8/2018,Pass
39,OnePlan,40,2/9/2018,Pass
40,OnePlan,41,2/10/2018,Pass
41,OnePlan,42,2/11/2018,Pass
42,OnePlan,43,2/12/2018,Pass
43,OnePlan,44,2/13/2018,Pass
44,OnePlan,45,2/14/2018,Pass
45,OnePlan,46,2/15/2018,Pass
46,OnePlan,47,2/16/2018,Pass
47,OnePlan,48,2/17/2018,Pass
48,OnePlan,49,2/18/2018,Pass
49,OnePlan,50,2/19/2018,Pass
50,OnePlan,51,2/20/2018,Fail
51,OnePlan,52,2/21/2018,Pass
52,OnePlan,53,2/22/2018,Fail
53,OnePlan,54,2/23/2018,Fail
54,OnePlan,55,2/24/2018,Fail
55,OnePlan,56,2/25/2018,Pass
56,OnePlan,57,2/26/2018,Fail
57,OnePlan,58,2/27/2018,Pass
58,OnePlan,59,2/28/2018,Pass
59,OnePlan,60,3/1/2018,Fail
60,OnePlan,61,3/2/2018,Pass
61,OnePlan,62,3/3/2018,Pass
62,OnePlan,63,3/4/2018,Fail
63,OnePlan,64,3/5/2018,Fail
64,OnePlan,65,3/6/2018,Pass
65,OnePlan,66,3/7/2018,Pass
66,OnePlan,67,3/8/2018,Fail
67,OnePlan,68,3/9/2018,Pass
68,OnePlan,69,3/10/2018,Fail
69,OnePlan,70,3/11/2018,Pass
70,OnePlan,71,3/12/2018,Pass
71,OnePlan,72,3/13/2018,Pass
72,OnePlan,73,3/14/2018,Pass
73,OnePlan,74,3/15/2018,Pass
74,OnePlan,75,3/16/2018,Pass
75,OnePlan,76,3/17/2018,Fail
76,OnePlan,77,3/18/2018,Fail
77,OnePlan,78,3/19/2018,Fail
78,OnePlan,79,3/20/2018,Pass
79,OnePlan,80,3/21/2018,Fail
80,OnePlan,81,3/22/2018,Pass
81,OnePlan,82,3/23/2018,Pass
82,OnePlan,83,3/24/2018,Pass
83,OnePlan,84,3/25/2018,Pass
84,OnePlan,85,3/26/2018,Pass
85,OnePlan,86,3/27/2018,Pass
86,OnePlan,87,3/28/2018,Pass
87,OnePlan,88,3/29/2018,Fail
88,OnePlan,89,3/30/2018,Fail
89,OnePlan,90,3/31/2018,Pass
90,OnePlan,91,4/1/2018,Pass
91,OnePlan,92,4/2/2018,Pass
92,OnePlan,93,4/3/2018,Fail
93,OnePlan,94,4/4/2018,Fail
94,OnePlan,95,4/5/2018,Fail
95,OnePlan,96,4/6/2018,Pass
96,OnePlan,97,4/7/2018,Pass
97,OnePlan,98,4/8/2018,Pass
98,OnePlan,99,4/9/2018,Pass
99,OnePlan,100,4/10/2018,Fail
100,OnePlan,101,4/11/2018,Pass
101,OnePlan,102,4/12/2018,Pass
102,OnePlan,103,4/13/2018,Pass
103,OnePlan,104,4/14/2018,Fail
104,OnePlan,105,4/15/2018,Fail
105,OnePlan,106,4/16/2018,Fail
106,OnePlan,107,4/17/2018,Pass
107,OnePlan,108,4/18/2018,Fail
108,OnePlan,109,4/19/2018,Fail
109,OnePlan,110,4/20/2018,Fail
110,OnePlan,111,4/21/2018,Fail
111,OnePlan,112,4/22/2018,Pass
112,OnePlan,113,4/23/2018,Pass
113,OnePlan,114,4/24/2018,Pass
114,OnePlan,115,4/25/2018,Pass
115,OnePlan,116,4/26/2018,Fail
116,OnePlan,117,4/27/2018,Fail
117,OnePlan,118,4/28/2018,Fail
118,OnePlan,119,4/29/2018,Fail
119,OnePlan,120,4/30/2018,Pass
120,OnePlan,121,5/1/2018,Pass
121,OnePlan,122,5/2/2018,Fail
122,OnePlan,123,5/3/2018,Pass
123,OnePlan,124,5/4/2018,Fail
124,OnePlan,125,5/5/2018,Pass
125,OnePlan,126,5/6/2018,Fail
126,OnePlan,127,5/7/2018,Pass
127,OnePlan,128,5/8/2018,Fail
128,OnePlan,129,5/9/2018,Pass
129,OnePlan,130,5/10/2018,Fail
130,OnePlan,131,5/11/2018,Pass
131,OnePlan,132,5/12/2018,Pass
132,OnePlan,133,5/13/2018,Fail
133,OnePlan,134,5/14/2018,Fail
134,OnePlan,135,5/15/2018,Fail
135,OnePlan,136,5/16/2018,Pass
136,OnePlan,137,5/17/2018,Fail
137,OnePlan,138,5/18/2018,Pass
138,OnePlan,139,5/19/2018,Pass
139,OnePlan,140,5/20/2018,Fail
140,OnePlan,141,5/21/2018,Pass
141,OnePlan,142,5/22/2018,Pass
142,OnePlan,143,5/23/2018,Fail
143,OnePlan,144,5/24/2018,Fail
144,OnePlan,145,5/25/2018,Pass
145,OnePlan,146,5/26/2018,Pass
146,OnePlan,147,5/27/2018,Pass
147,OnePlan,148,5/28/2018,Pass
148,OnePlan,149,5/29/2018,Fail
149,OnePlan,150,5/30/2018,Pass
150,OnePlan,151,5/31/2018,Pass
151,OnePlan,152,6/1/2018,Fail
152,OnePlan,153,6/2/2018,Fail
153,OnePlan,154,6/3/2018,Pass
154,OnePlan,155,6/4/2018,Pass
155,OnePlan,156,6/5/2018,Fail
156,OnePlan,157,6/6/2018,Pass
157,OnePlan,158,6/7/2018,Pass
158,OnePlan,159,6/8/2018,Pass
159,OnePlan,160,6/9/2018,Pass
160,OnePlan,161,6/10/2018,Pass
161,OnePlan,162,6/11/2018,Pass
162,OnePlan,163,6/12/2018,Fail
163,OnePlan,164,6/13/2018,Pass
164,OnePlan,165,6/14/2018,Fail
165,OnePlan,166,6/15/2018,Fail
166,OnePlan,167,6/16/2018,Pass
167,OnePlan,168,6/17/2018,Fail
168,OnePlan,169,6/18/2018,Fail
169,OnePlan,170,6/19/2018,Fail
170,OnePlan,171,6/20/2018,Fail
171,OnePlan,172,6/21/2018,Pass
172,OnePlan,173,6/22/2018,Fail
173,OnePlan,174,6/23/2018,Pass
174,OnePlan,175,6/24/2018,Pass
175,OnePlan,176,6/25/2018,Fail
