TCID,AppName,EXEDATE,STATUS,"RCA (Env, Code, Data, Req))"
79,Facebook,07.30.19,Fail,"DEV|print(""a[10]"")|No varible named a|retrive data"
185,TechCrunch,05.26.19,Fail,"PROD|import plotly|The plotly.plotly module is deprecated,|importing"
169,Guardian,07.06.19,Fail,DEV|import seaborn as sns|seaborn: package not found|importing
156,Zomato,06.20.19,Fail,STG| if i>5 |SyntaxError: invalid syntax |decision control
7,Zomato,05.01.19,Pass,
131,Zomato,06.10.19,Fail,PROD|np.arange(8)|numpy array out of range|looping
102,Netflix,05.20.19,Pass,
7,Netflix,07.21.19,Fail,"STG|for i in range(0,2)|List out of Index [23]|looping"
3,Instagram,08.27.19,Fail,PROD|print(('python')*a)|a: variable undefined|retrieve data
125,Uber,09.12.19,Pass,
8,Facebook,07.29.19,Fail,
167,Hotstar,08.23.19,Pass,
85,Uber,08.13.19,Pass,
99,Netflix,08.21.19,Pass,
82,Hotstar,06.30.19,Fail,DEV|df = df[df['Android Ver'] != np.nan]|name 'df' is not defined|renaming
158,ACM,07.24.19,Fail,DEV|df.read_csv(...)|file not found|Importing file
77,TechCrunch,09.19.19,Fail,"DEV|for val in ""string"": |val : undefined variable|iteration"
35,TechCrunch,06.16.19,Fail,DEV|import seaborn as sns|seaborn: package not found|importing
8,Uber,04.26.19,Fail,"DEV| print ""Ok""|Missing parentheses in call to 'print'| printing"
5,Facebook,08.13.19,Fail,PROD|np.arange(8)|numpy array out of range|looping
198,Netflix,09.04.19,Pass,
120,UberEats,06.27.19,Fail,PROD|plt.show()|matplotlib is not imported|visualising
191,Netflix,09.20.19,Pass,
79,UberEats,04.19.19,Pass,
52,Instagram,07.06.19,Fail,
129,Facebook,06.22.19,Fail,"DEV|for val in ""string"": |val : undefined variable|iteration"
88,Uber,04.19.19,Pass,
141,Guardian,09.12.19,Fail,
150,Netflix,04.11.19,Pass,
117,Netflix,04.02.19,Pass,
84,Zomato,04.08.19,Fail,"DEV|print(""sum is"",a+b)|No varibles named a and b|retrive data"
69,Hotstar,05.24.19,Fail,UAT|fun(20)|arguments undefined in function|pass by value 
139,Instagram,08.03.19,Pass,
157,UberEats,07.11.19,Pass,
28,Zomato,08.31.19,Pass,
144,Instagram,04.22.19,Pass,
9,Guardian,09.12.19,Pass,
171,Hotstar,07.03.19,Fail,DEV|print(df.columns)|df: undefined dataframe|retrive data
133,Guardian,09.30.19,Fail,PROD|np.arange(8)|numpy array out of range|looping
91,Uber,07.26.19,Pass,
40,ACM,09.24.19,Fail,STG|for i in Age|list index out of range|looping
96,Netflix,09.29.19,Fail,"STG|for i in range(0,2)|List out of Index [23]|looping"
161,Instagram,05.28.19,Fail,"PROD|import plotly|The plotly.plotly module is deprecated,|importing"
191,Guardian,09.28.19,Pass,
62,TechCrunch,08.11.19,Fail,"DEV|print(""a[10]"")|No varible named a|retrive data"
166,Facebook,05.31.19,Pass,
156,TechCrunch,04.01.19,Pass,
95,UberEats,07.25.19,Fail,UAT|import matplotlib.pyplot as plt|matplot: Package not found|importing
101,Hotstar,04.05.19,Pass,
118,Uber,06.18.19,Pass,
73,ACM,04.17.19,Fail,STG|for i in Age|list index out of range|looping
85,Facebook,05.01.19,Pass,
183,Hotstar,08.20.19,Pass,
101,Instagram,08.09.19,Pass,
185,Instagram,06.29.19,Pass,
23,UberEats,05.16.19,Fail,"STG|for i in range(0,2)|List out of Index [23]|looping"
150,Netflix,05.29.19,Pass,
154,Guardian,09.11.19,Fail,DEV|plt.show()|displaying graph without plotting it|plotting
12,Instagram,04.08.19,Fail,PROD|Not compatible with IOS 13|Update not found|Updating
81,Netflix,06.16.19,Fail,DEV|plt.show()|displaying graph without plotting it|plotting
32,Facebook,06.14.19,Pass,
95,UberEats,09.28.19,Pass,
139,Netflix,09.01.19,Pass,
91,Zomato,07.05.19,Pass,
195,Netflix,05.10.19,Pass,
8,Instagram,06.06.19,Pass,
131,Facebook,07.25.19,Fail,DEV|import seaborn as sns|seaborn: package not found|importing
196,Uber,09.03.19,Pass,
49,Facebook,07.02.19,Pass,
125,Hotstar,09.22.19,Pass,
91,TechCrunch,05.27.19,Fail,"DEV|plt.plot(x,y)|x,y : undefined variables|plotting"
144,Facebook,07.03.19,Pass,
158,Netflix,08.01.19,Pass,
47,Instagram,06.21.19,Fail,DEV|df.read_csv(...)|file not found|Importing file
199,UberEats,08.05.19,Fail,UAT|import pandasa as pd|pandasa: Package not found|importing
93,Zomato,04.29.19,Pass,
147,ACM,04.18.19,Pass,
55,Netflix,04.12.19,Pass,
169,UberEats,08.29.19,Fail,STG|for i in Age|list index out of range|looping
190,UberEats,04.03.19,Fail,STG|for i in Age|list index out of range|looping
148,Facebook,08.26.19,Pass,
87,Zomato,06.14.19,Fail,
180,Facebook,04.18.19,Pass,
193,Hotstar,05.07.19,Fail,"DEV|for val in ""string"": |val : undefined variable|iteration"
36,ACM,07.21.19,Pass,
198,ACM,09.01.19,Pass,
10,Hotstar,05.17.19,Pass,
148,ACM,08.24.19,Fail,
68,Hotstar,07.13.19,Pass,
56,Netflix,08.10.19,Fail,PROD|import numpy as np|numpy: Package not found|importing
176,Zomato,09.26.19,Fail,"STG|for i in range(0,2)|List out of Index [23]|looping"
91,TechCrunch,04.25.19,Fail,"UAT|return func(*args, **kw)|InterruptedError|Handle Interrupt Error"
48,ACM,04.24.19,Pass,
106,Facebook,08.15.19,Fail,"UAT| a=pd.readcsv(""testcase.csv"")| module 'pandas' has no attribute 'readcsv'|reading"
153,Hotstar,07.30.19,Fail,PROD|plt.show()|matplotlib is not imported|visualising
144,Zomato,07.11.19,Fail,PROD|print(('python')*a)|a: variable undefined|retrieve data
166,UberEats,07.06.19,Fail,PROD|Not compatible with IOS 13|Update not found|Updating
117,Guardian,09.05.19,Fail,"STG|for i,j in range()|range expected 1 arguments|parsing"
192,Facebook,05.22.19,Fail,DEV|plt.show()|plt:undefined name|displaying
65,UberEats,04.19.19,Pass,
102,Instagram,07.03.19,Fail,"STG|for i in range(0,2)|List out of Index [23]|looping"
79,Instagram,06.18.19,Pass,
129,UberEats,07.08.19,Pass,
94,TechCrunch,08.16.19,Fail,DEV|plt.show()|plt:undefined name|displaying
104,Hotstar,08.08.19,Fail,
160,Hotstar,04.04.19,Pass,
31,ACM,09.29.19,Pass,
49,Guardian,09.21.19,Pass,
159,Netflix,08.21.19,Pass,
78,ACM,05.22.19,Pass,
30,Instagram,08.30.19,Fail,"STG|for i in range(0,2)|List out of Index [23]|looping"
14,Instagram,06.22.19,Pass,
133,Netflix,05.18.19,Fail,"PROD|import plotly|The plotly.plotly module is deprecated,|importing"
128,Facebook,05.16.19,Pass,
95,ACM,05.10.19,Pass,
168,UberEats,08.24.19,Pass,
55,UberEats,08.15.19,Fail,"STG|for i in range(0,2)|List out of Index [23]|looping"
68,UberEats,06.16.19,Pass,
5,Uber,04.04.19,Fail,"DEV|print(""a[10]"")|No varible named a|retrive data"
62,TechCrunch,06.16.19,Fail,"DEV| print ""Ok""|Missing parentheses in call to 'print'| printing"
179,Uber,06.28.19,Fail,
142,ACM,08.18.19,Fail,
19,Guardian,06.08.19,Fail,"PROD| plt.rc(""font"",""size""=14)| keyword can't be an expression| setting RC parameter"
150,ACM,06.02.19,Fail,PROD|print(('python')*a)|a: variable undefined|retrieve data
104,Zomato,08.08.19,Fail,"STG|for i in range(0,2)|List out of Index [23]|looping"
87,Guardian,09.15.19,Pass,
3,Instagram,07.27.19,Pass,
40,Netflix,05.13.19,Pass,
180,ACM,06.27.19,Pass,
37,Facebook,05.16.19,Fail,"PROD|import plotly|The plotly.plotly module is deprecated,|importing"
62,Facebook,07.17.19,Pass,
72,Instagram,04.30.19,Fail,"DEV| print ""Ok""|Missing parentheses in call to 'print'| printing"
4,TechCrunch,07.28.19,Fail,
47,UberEats,07.14.19,Pass,
137,Guardian,08.04.19,Pass,
49,Netflix,04.02.19,Fail,UAT|import matplotlib as plt|matplotlib: Package not found|importing
38,Hotstar,07.18.19,Fail,"PROD|import plotly|The plotly.plotly module is deprecated,|importing"
32,Uber,04.06.19,Fail,"DEV|plt.plot(x,y)|x,y : undefined variables|plotting"
147,TechCrunch,05.04.19,Fail,"DEV|plt.plot(x,y)|x,y : undefined variables|plotting"
