,AppName,TCID,EXEDATE,Status
0,OnePlan,1,1/1/2016,Fail
1,OnePlan,2,1/2/2016,Fail
2,OnePlan,3,1/3/2016,Fail
3,OnePlan,4,1/4/2016,Pass
4,OnePlan,5,1/5/2016,Pass
5,OnePlan,6,1/6/2016,Fail
6,OnePlan,7,1/7/2016,Pass
7,OnePlan,8,1/8/2016,Pass
8,OnePlan,9,1/9/2016,Pass
9,OnePlan,10,1/10/2016,Pass
10,OnePlan,11,1/11/2016,Fail
11,OnePlan,12,1/12/2016,Fail
12,OnePlan,13,1/13/2016,Fail
13,OnePlan,14,1/14/2016,Pass
14,OnePlan,15,1/15/2016,Fail
15,OnePlan,16,1/16/2016,Pass
16,OnePlan,17,1/17/2016,Fail
17,OnePlan,18,1/18/2016,Pass
18,OnePlan,19,1/19/2016,Pass
19,OnePlan,20,1/20/2016,Pass
20,OnePlan,21,1/21/2016,Pass
21,OnePlan,22,1/22/2016,Pass
22,OnePlan,23,1/23/2016,Fail
23,OnePlan,24,1/24/2016,Fail
24,OnePlan,25,1/25/2016,Pass
25,OnePlan,26,1/26/2016,Fail
26,OnePlan,27,1/27/2016,Fail
27,OnePlan,28,1/28/2016,Pass
28,OnePlan,29,1/29/2016,Pass
29,OnePlan,30,1/30/2016,Pass
30,OnePlan,31,1/31/2016,Fail
31,OnePlan,32,2/1/2016,Pass
32,OnePlan,33,2/2/2016,Fail
33,OnePlan,34,2/3/2016,Pass
34,OnePlan,35,2/4/2016,Fail
35,OnePlan,36,2/5/2016,Pass
36,OnePlan,37,2/6/2016,Pass
37,OnePlan,38,2/7/2016,Fail
38,OnePlan,39,2/8/2016,Pass
39,OnePlan,40,2/9/2016,Pass
40,OnePlan,41,2/10/2016,Fail
41,OnePlan,42,2/11/2016,Fail
42,OnePlan,43,2/12/2016,Pass
43,OnePlan,44,2/13/2016,Pass
44,OnePlan,45,2/14/2016,Fail
45,OnePlan,46,2/15/2016,Fail
46,OnePlan,47,2/16/2016,Pass
47,OnePlan,48,2/17/2016,Pass
48,OnePlan,49,2/18/2016,Pass
49,OnePlan,50,2/19/2016,Fail
50,OnePlan,51,2/20/2016,Fail
51,OnePlan,52,2/21/2016,Pass
52,OnePlan,53,2/22/2016,Pass
